Table 5d. Adult unemployment,,,,,,
Last update: December 2012,,,,,,
,,,Adult (15+) unemployment rate,,,
,,,,,,
Country or area,Year,,Men,,Women,Source
Nicaragua,2010,,7.4,,8.8,HS
Niger,2001,,1.7,,0.9,PC
Nigeria,1986,d,3.7,,4.4,HS
Northern Mariana Islands,2005,b,7.3,,5.8,HS
Norway,2011,m,3.4,,3.1,LFS
Occupied Palestinian Territory,2010,,23.1,,26.8,LFS
Pakistan,2008,d,4.0,,8.7,HS
Palau,2005,b,3.7,,4.9,PC
Panama,2011,,4.2,,4.9,HS
Papua New Guinea,2000,"h,c",4.3,,1.3,PC
Paraguay,2011,"h,z",4.4,,7.4,HS
Peru,2011,"t,a1",5.8,,10.1,HS
Poland,2011,,9.0,,10.4,LFS
Portugal,2011,,12.4,,13.1,LFS
Puerto Rico,2011,"d,b",18.2,,12.8,LFS
Qatar,2011,,0.2,,3.3,LFS
Republic of Korea,2011,d,3.6,,3.1,LFS
Republic of Moldova,2011,,7.7,,5.6,LFS
Réunion,2011,j,27.6,,31.8,...
Romania,2011,,7.9,,6.8,ELFS
Russian Federation,2011,b1,7.0,,6.2,LFS
Rwanda,1996,a,0.9,,0.4,HS
Saint Helena,1998,c1,20.2,,15.1,PC
Saint Kitts and Nevis,2001,,4.3,,5.9,HS
Saint Lucia,2007,,10.0,,18.5,LFS
Saint Vincent and the Grenadines,1991,,18.3,,21.4,PC
Samoa,2001,,4.4,,6.2,PC
San Marino,2007,w,1.2,,4.5,OE
Sao Tome and Principe,2006,w,11.0,,24.5,OE
Saudi Arabia,2009,,3.5,,15.9,LFS
Senegal,2006,,7.9,,13.6,HS
Serbia,2010,,18.3,,20.4,LFS
Serbia and Montenegro,2003,"c,d1",14.4,,16.4,HS
Seychelles,2005,d,6.1,,4.9,LFS
Sierra Leone,2004,,4.5,,2.3,PC
Singapore,2011,e1,2.6,,3.2,LFS
Slovakia,2011,,13.5,,13.5,LFS
Slovenia,2011,,8.2,,8.2,LFS
Solomon Islands,1999,,31.0,,33.7,PC
South Africa,2011,,22.3,,27.7,HS
Spain,2011,b,21.2,,22.2,LFS
Sri Lanka,2010,"d,f1",3.5,,7.7,LFS
Suriname,2004,,7.0,,13.7,PC
Swaziland,1997,,20.0,,26.0,PC
Sweden,2011,q,7.6,,7.5,LFS
Switzerland,2011,,3.7,,4.5,LFS
Syrian Arab Republic,2010,d,5.7,,22.5,LFS
TFYR of Macedonia,2011,,31.8,,30.8,ELFS
Thailand,2011,"d,g1",0.7,,0.6,LFS
